SMILES,Homo-lumo gap (ev),Lumo(ev),Wavelength(nm)
C[C@H]1[C@H]2CC[C@H](C2)C1=C,7.01934956,0.70231591,176.69
C/C=C/C(C)(C)C(C)O,6.78016487,0.41034188,188.4
C[C@@H](/C=C/CCCC=C)O,6.775539,0.35292667,201.23
C/C=C/[C@H]1CCCC(O1)C,6.71458636,0.36163419,211.02
C1C=CCOC1C2=CCCO2,5.86614738,0.47728094,237.83
CCCOOCC,8.14506863,2.05007674,180.49
CC#C/C=C/OCCOCCOC,5.71512633,0.06394585,222.14
CC[C@@H]1[C@@H](C1C=C)CC,6.91349877,0.50993414,194.53
C=C/C=C/CC1CCCC1,5.23485218,-0.63837006,237.49
CC[C@](C)(C(=O)C)OC,5.54805079,-0.87564998,322.88
C1C[C@@H]2C[C@H]1CC[C@@H]2O,8.54942409,1.67565338,172.55
C/C=C/CC(C)C(C)C,6.829961,0.55483229,182.15
C1C[C@H]2[C@@H]3C[C@@H]3[C@@H]1CC2=O,5.86288206,-0.58394806,307.61
CC[C@H]1CCC[C@H]1C(=O)O,6.83349843,-0.3673485,249
C=C1COC1=O,5.74043256,-2.14368258,294.13
C/C/C(=C/C)/C=C/C,5.36492076,-0.22802818,234.64
C=COOF,6.72002856,-0.54285945,218.85
C[C@H]1[C@@H]2C[C@H]([C@@H]1C=C)C=C2,6.56302109,0.36816483,205.12
CCC/C(=C/C)/O,6.58016402,0.99946003,219.29
C/C=C/[C@@H]1CC[C@H]1C,6.87594759,0.70013903,183.26
CC[C@]1(CCCCC1=O)O,5.72492229,-0.67238381,317.32
C[C@@H]([C@@]1(CO1)C)O,8.09500039,1.35102615,176.31
C1C/C=C/CCCC(=C1)O,5.84519491,0.49088644,238.48
C#C/C/1CCCCCC=C1,6.97826095,0.50993414,188.17
C=C1OCOCO1,6.88792043,1.03347378,181.67
C1[C@@H]2[C@H]1[C@@H]([C@@H](C2)O)CCO,7.63921614,0.92762299,187.63
CC[C@]12CC[C@]1([C@H]2C)C,7.70778786,2.08790003,184.66
C[C@@H]([C@@H]1CCCO1)OC(=O)C,6.50234056,-0.07836768,245.69
C[C@@H]1[C@H]2CCC[C@@]2(OO1)C,7.46043987,1.68572145,206.45
C#CC[C@@H]1CCCC[C@H]1O,8.22425264,1.35211459,179.47
CC/C/C=C/C(=O)O,5.68002414,-1.52816976,296.49
CC[C@]1(CCC[C@@H]1C)O,8.39785882,1.44626465,173.45
CO[C@@H]1C[C@H]([C@H](C1)CO)C,8.03459197,1.44327144,175.38
CC1OCCC(=C)O1,6.66560656,0.81170413,185.23
CCOC(CC1CO1)OCC,8.9769089,1.89987202,155.06
C/C=C/[C@H]([C@H](C)CO)O,6.83839641,0.75047938,191.23
CC[C@@H]1[C@H](O1)CCCC=C,7.33744615,0.55809761,182.21
C/C/1=C/CC/C=C/OC1,6.25853,0.13795977,225.34
C[C@@H]([C@@H](C(=O)O)O)O,6.27023073,-0.94558225,267.24
CCO/C=C/OCC,6.59540218,1.44517621,200.24
CCC/C=C/C=C=CC,3.75947176,-1.20463097,405.61
C=C/C=C/C1=CC=C1,2.25796878,-2.11946479,766.06
CC#C[C@@H]([C@@H](C)C)O,7.95404741,1.11782788,191.38
C=C[C@@H]1C=CCCC[C@H]1O,6.69091279,0.40381124,203.9
C[C@@H](/C=C/C=C/C=O)O,4.58886304,-2.15456698,391.38
CC[C@@H]([C@H]1CCCC1=O)O,5.79077291,-0.62285979,310.55
C[C@H]([C@H]1CC[C@]1(C)CO)O,7.84629185,0.96952793,183.96
C=C/C/C=C/C=C/O,5.24872979,-0.07700713,244.6
C=C[C@@H]1CCCC[C@H]1C=C,6.94451931,0.33088576,194.46
C[C@H]1CCCC(C(=O)C1)C,6.01471944,-0.39864115,298.49
C=C/C(=[C](O)O)/C=O,4.8544424,-1.19592345,368.81
C[C@@H]1C[C@H]1CC[C@@H](C)C=C,7.13445209,0.46285911,182.19
C/C=C/C1OCC(O1)CO,6.67621885,0.17986471,211.12
C1CCOC(C1)OCCCC=O,5.4394789,-1.12789595,315.15
C/C=C/OC1CCCCC1,6.68329371,1.16163759,188.11
C[C@@H]([C@@](C)(CO)F)O,8.18833412,0.84163623,177.58
C=C(CC(=O)O)C(=O)O,5.42070331,-2.17470312,290.55
CC(CCC=C(C)C)CCF,6.59540218,0.61959447,186.98
C=C[CH](O)OC(=O)O,6.90724024,-0.48870956,227.31
C/C=C/[C@@H]([C@H](C)CO)O,6.78832817,0.55401596,197.64
C12[C@@H]([O+]1O)CC2=O,5.06505554,-7.62914807,364.64
C=C[CH][CH]CO,2.06966866,-3.30831338,786.18
C[C@@H]1C[C@H]2CCC[C@@H]2C=C1,7.0095536,0.70041114,178.61
CC/C(=C/CC=C)/C=O,4.9333543,-1.90803532,378.2
C[C@H](C(=O)C)F,6.00682825,-0.91809914,301.88
C/C=C/[C@@H]([C@@H](C)CC)O,6.89009731,0.29415091,201.25
C=C/C/C(=C/O)/C,5.92710002,0.45224682,243.72
C12[C@H]([C@H]1CC=O)O2,2.2966084,-2.94858396,692.64
C1[C@@H]2C[C@@H]3C[C@H]1[C@H](C2)[C@@H]3O,8.43921954,1.55048278,174.29
CCC=CC[C@H]1C[C@@H](OC1)C,6.75050488,0.34530759,198.47
C(#CF)F,7.99377547,-0.15020472,183.3
CC[C@@H]1[C@]2(O1)CCOC2=O,6.23921019,-0.96544628,268.72
C=CCCCC=CCCCC=C,6.64519831,0.46938975,199.84
C=C/C/C=C/C=C/O,5.31920628,0.05061246,245.9
CC(/C=C/OC)C(=O)OC,5.42233597,-0.43564811,267.28
C=C(CO)C1=CC=CO1,4.93253797,-0.79945918,252.05
C[C@H]1[C@H]2[C@@H](O1)CCCCC2=O,5.76084081,-0.88190851,305.75
C(CC/C=C/CCCO)CCO,6.67676307,0.38258666,191.39
C/C=C/[C@@]1(CCCC[C@H]1O)O,6.90778446,0.43020591,203.11
C1C(C1CCCO)(CO)CO,8.24710988,1.59157139,174.42
C=C1[C@H](COC1=O)O,5.23975016,-2.01306978,323
C(#CO)OC=O,5.46832256,-1.38313513,257.04
CCO[C@@H]1CC[C@H](OC1)OCC,8.32711022,1.89306927,169.15
C(=O)OC(=O)O,5.7333577,-1.95565457,302.4
C1[C@H]([C@@H]2CCC[C@H]([C@H]1O)O2)O,7.87622395,1.32653625,176.57
C=C1[C@@H](COC1=O)O,5.40600937,-1.92735513,313.15
COCOCC1=CC=CC=C1OC,5.84356225,0.07292548,243.56
C[C@@H]([C@@](C)(C=C)O)O,7.43458942,0.81796266,179.7
CC[C@]1(C[C@H]2CC[C@@H]1C2)O,8.48466191,1.5836802,172.24
C(=O)OC(=O)O,5.73254137,-1.95619879,302.43
CCCOC(=O)CC=C=CCC,2.45470431,-2.21388696,853.06
C=CC[C@H]1C[C@@H]2CC[C@H]1[C@@H]2O,7.1973095,0.77632983,173.91
CCO/C=C/CCC(=O)C,5.04383096,-0.62721355,306.01
CC#CC[C@H](C(C)C=C)O,6.92601583,0.43319912,196.38
C=C[C@@]1(C[C@H]1CO)O,6.69200123,0.00897963,217.91
C12[C@H](C(C1=O)O)CO2,4.70369346,-1.82504177,387.33
C[C@@H](C[C@H](C)O)C=C,7.25907847,0.51537634,183.31
CC(=O)CCOC1CCCCO1,5.73009238,-0.49061433,316.28
CCOCC#CC=C(C)C,5.72192908,-0.04979613,224.23
C(=C(C(F)(F)F)F)F,6.80438266,-1.35918945,177.54
C=C[C@@]1(CC[C@H]1O)O,6.68465426,-0.12816381,219.72
C([C]#CC(=C(F)F)F)F,5.77335787,-1.34830505,240.33
C[C@H](COC)O,8.0435716,1.42939383,180.55
C=C[C@@]1(CC[C@H]1O)O,6.68628692,-0.1115651,218.72
C[C@@H](/C=C/CC(C)O)O,6.80628743,0.27836853,197.94
C[C@H](C#C)OC(=O)C,6.52955156,-0.43945765,257.54
C[C@H](CCCC(C)C)CC=O,5.85607931,-0.95809931,315.48
C([C@@H](C=O)O)O,5.94451506,-1.06177322,312.39
C=COC1OCC(=C)O1,6.81853238,0.43156646,199.06
CC1(CC=CC1)C(=O)OC,6.22669313,-0.28136174,249.24
CCC/C=C/C1CCCO1,6.66424601,0.52381175,206.05
C[C@H](C[C@@](F)(F)F)O,8.96085441,1.26966526,165.53
CCC[C@@](C)([C@H](C)O)O,8.01554427,1.26830471,179.82
C12C3C1C4C5C4C5C23,6.8762197,0.61415227,201.36
C=C1OCCCCO1,6.80438266,1.15320218,181.2
C([O-])F,6.84492705,9.05990245,216.32
CCOC1(OCC(O1)O)C,8.25962694,1.1564675,170.04
CCC/C(=C/CC)/C=C,5.37526094,-0.47836938,226.62
C/C/1(CCCCC1=C)CO,7.06261505,0.83347293,183.05
C=C[C@@H]([C@@H](CO)O)O,6.97717251,0.50285928,190.07
C[C@@H]1CCC(=C[C@H]1O)C(C)C,6.86424686,0.52109065,196.86
C=C=C[C@H]1CCC1C=C,6.22614891,0.10585079,233.53
CCC(C)COC1CCCO1,8.40983166,1.83538195,166.48
CCC=CCCCCC=C,6.72084489,0.49279121,198.56
C([C][O-])O,2.63511324,5.39975084,948.95
CCC/C=C/C=C/CCCCCO,5.08464746,-0.5251723,248.08
C(=C=O)F,4.12028962,-2.76327705,516.56
CCCC(CC)/C=C/CCC,6.67104876,0.52408386,188.53
C([C@H]1[C@@H](O1)CO)O,8.35132801,1.25469921,173.97
C=C[C@@]1([C@H]2C1C=CC2)O,6.43621783,0.12707537,223.19
C/C/1C=CC=CC1CCC,5.18560027,-0.44952572,256.17
C[C@@H]([C@H](CC=C)O)OC,7.04737689,0.46095434,196.32
C=C[C@@H](CC(=O)C=C)O,4.88110918,-1.66993907,375.62
C=C[C@@](CO)(C(O)O)O,7.04247891,0.50694093,195.45
CCCO/C=C/C1CC1C,6.54669449,0.8517043,194.25
CC[C@@H]1[C@@](O1)(C)[C@@H](CC)O,8.1306468,1.45170685,177.2
C[C@H](CC=O)C=C,5.77281365,-0.89633034,317.32
CC1CC2CCCCC2(O1)OO,7.95758484,1.25333866,188.32
C(=O)[O-],6.4408437,7.1183976,270.44
CCC12COC(OC1)OC2,8.41037588,1.57714956,164
C([C@H]1[C@@H](O1)C(=O)O)O,6.27404027,-1.1455831,268.64
C=C[C@H]1[C@H](O1)[C@@H]2CC2=C,6.80601532,0.0380954,211.84
CC#CC1(CCCCC1=O)C,5.73118082,-0.60217943,310.21
C(#C/C=O)C#CF,4.87866019,-2.71973945,384.05
CC[C@]1([C@@H]2[C@H]1CC2)C=C,6.30614925,0.35700832,226.09
C([O-])[O-],5.75621494,15.31543924,272.31
CC[C@]12CC[C@]1([C@H]2C)C,7.67132512,2.04490665,185.25
CCC(OCC=C)OCC1CO1,7.01173048,0.31129384,195.86
C(=O)C(=O)CF,3.80028826,-3.92518675,574.98
