SMILES,Homo-lumo gap (ev),Lumo(ev),Wavelength(nm)
C1[C@H](C(OO1)CO)O,7.94234668,1.41986998,180.53
C1[C@H](C[C@@H]([C@H]1CO)O)O,8.16030679,1.29878103,175.15
C1[C@H](C1(O)O)O,7.88139404,1.41361145,184.47
C[C@@H]1[C@H](O1)[C@@H](C(=O)O)O,6.26642119,-0.89415346,267.51
C1[C@H](C[C@@H](C[C@H]1O)O)O,7.93499971,1.13007283,179.86
C1C[C@H]2O[C@H](CC[C@@H]1O2)O,8.71976495,1.76272858,164.11
C1[C@H](C[C@@H](CO1)CO)O,7.84738029,1.32354304,182.66
C1[C@H](C12C(CO)O)O2,1.99402208,-2.55946666,976.86
C[C@@H]1[C@H](O1)[C@@H]2[C@@H](O2)C,8.9088814,1.89851147,165.61
C1[C@H](CC1)CO,8.51649878,1.65415669,174.2
C1[C@H](C[C@@H]([C@@H]2[C@H]1O2)O)O,8.55840372,1.40544815,167.85
C1C[C@@H]2[C@@H]1OCCOCCOCCO2,7.83241424,1.66286421,180.89
C1[C@H](C(C(O1)O)O)O,7.76357041,0.761908,188.06
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.55539351,-1.98803566,329.57
C[C@@H]1[C@H](OC=O)OC(=O)C1,6.23784964,-1.19401868,258.38
C1CC[C@@H]2COC(=O)[C@H]2CC1,6.7782601,-0.26775624,251.08
C1[C@H](C1(F)F)CO,8.96221496,1.55021067,164.81
C1[C@H](C(OC(O1)O)O)O,8.06642884,0.92272501,180.39
C1[C@H](C([C@H](O1)O)O)O,7.5592158,0.75265626,187.23
C[C@@H]1[C@H](O1)[C@H]2C[C@@H]2C,8.87513976,2.22531558,158.67
C1[C@H](C([C]CO1)O)O,2.32871738,-3.08409474,1961.43
C[C@@H]1[C@H](O1)[C@@H](CC=C)O,7.0857444,0.41660041,193.29
C1[C@H](C#C[C@@H]1CO)O,4.47702583,-1.90041624,342.94
C1[C@H](C12[C@@H](C2)O)O,3.51811019,-0.979596,575.67
C1[C@H](C([C@H]2C1O2)O)O,8.29146381,1.32136616,176.64
C1[C@H](C(C1F)C(=O)O)O,6.53118422,-0.73932287,250.68
C1[C@H](C#C[C@@H]1CO)O,4.49063133,-2.23483943,344.09
C1[C@H](C[C@@H]2[C@@H]1O)OC2O,8.19513687,1.33905331,174.63
C1C[C@@H](C2=CC=CC2C1)O,5.49281246,-0.17551095,241.81
C1[C@H](C(O[C@H](O1)O)O)O,8.40983166,1.07401817,169.74
C1[C@H](C([C@@H](C1=O)O)O)O,5.3306349,-1.28463131,340.4
C1[C@H](C#C[C@@H]1C(=O)O)O,4.43103924,-2.49851402,349.16
C[C@@H]1[C@H](O1)[C@@H]2CCCO2,8.43323312,1.8748379,166.48
C1[C@H](C(O[C@@H](CO1)O)O)O,7.82996525,0.92054813,178.33
C1[C@H](C1[C@@H]2CO2)O,8.40683845,1.70776236,174.74
C[C@@H]1[C@H](O1)[C@H]([C@@H](C)O)O,7.60057652,0.90857529,189.77
C[C@@H]1[C@H](O1)[C@@H](C)CC#C,8.49336943,1.5210949,178.93
C1[C@H](C#C[C@H]1O)O,4.4843728,-2.34858141,334.18
C[C@@H]1[C@H](O1)[C@@H](C)C=C=C,3.43892618,-1.67102751,498.92
C1[C@H](C[C@@H]2[C@@H]1CC2O)O,8.36874305,1.51674114,173.63
C[C@@H]1[C@H](O1)[C@@H]2CCCO2,8.43350523,1.87511001,166.48
C12C(=C=CCO1)OCCO2,2.43946615,-2.31783298,817.17
C[C@@H]1[C@H](O1)[C@H]2C[C@H]2C,8.87486765,2.08245783,160.04
C1[C@H](CC2(O1)CO2)O,8.32983132,1.53578884,170.78
C1[C@H](C([C@H]1C(=O)O)O)O,6.20927809,-0.71183976,268.33
C1[C@H](C[C@@H]([C@@H]([C@H]1O)O)O)O,7.74207372,0.99809948,184.97
C1[C@H](C1=O)[C@@H](C=O)O,4.843558,-1.5483059,393.19
C1[C@H](C([C]C(O1)O)O)O,2.8190596,-3.05389053,1002.69
C[C@@H]1[C@H](OCOC1=O)C,6.72710342,-0.61333594,254.12
C1[C@H](CCC1=O)O,5.65254103,-0.91129639,318.4
C1[C@H](C([C@H]([C@@H]1O)O)O)CO,8.10588479,1.32272671,177.21
C1[C@H](C1[C@@H]2[C@H](O2)O)O,8.19976274,1.44055034,176.47
C1[C@H](C(C[C@H](O1)F)O)O,8.24656566,1.05415414,175.72
C1[C@H](C#C[C@@H]1O)O,4.52491719,-2.33524802,331.26
C1[C@H](C([C@H]1O)CO)O,7.84248231,1.28599186,180.62
C1[C@H](CC(C1=O)O)O,5.31866206,-1.35075404,345.04
C1[C@H](C#C[C@@H]1O)O,4.52627774,-2.33415958,331.13
C1[C@H](CC2[C@H]1C2)O,8.64520681,1.67402072,170.37
C1[C@H](CC(=O)[C@H]1O)O,5.36764186,-1.1183721,336.07
C1[C@H](C#C[C@@H]1O)CO,4.53933902,-2.00463437,335.96
C1[C@H](C1(CO)O)CO,7.89418321,1.414972,180.54
C1[C@H](CC=CO1)O,6.67975628,0.70068325,199.4
C1[C@H](C(C[C@@H]([C@@H]1O)O)O)O,7.96139438,0.94177271,181.45
C1[C@H](C#C[C@@H]1CO)O,4.45770602,-2.13824038,343.71
C1[C@H](CC=CC1=O)O,4.95838842,-1.64980293,370.35
C[C@@H]1[C@H](O1)[C@@H](C)CC#C,8.53745125,1.59973469,178.94
C1[C@H](C#C[C@H]1O)O,4.51294435,-2.33388747,326.1
C1[C@H](C#C[C@@H]1O)C=O,4.29471213,-2.72409321,362.81
C1C[C@@H]([C@@H]([C@@H]1[C@H](CO)O)O)O,7.57336552,0.80408505,192.28
C1C[C@H]2O[C@H]1CCCCC2,8.42479771,1.92762724,166.68
C1[C@H](C12[C@H]3CC32)C=O,3.0394687,-1.71510933,731.25
C[C@@H]1[C@H](O1)[C@@H](C(C)C)O,8.23241594,1.31374708,176.05
C1[C@H](C#C[C@H]1O)O,4.4843728,-2.34858141,334.19
C1[C@H](C(C1O)CCO)O,8.21881044,1.50721729,174.94
C1[C@H](C(OCO1)CO)O,8.16411633,1.35429147,174.69
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.46750198,-2.04490665,346.36
C1C[C@H]2CC[C@@H]3CCC[C@H]3[C@H]2C1,9.45174085,1.96354576,144.47
C1[C@H](CC(=O)[C@@H]1O)O,5.26043052,-1.51265949,348.98
C1[C@H](CC2C(C1=O)O2)O,5.54669024,-0.69333628,311.56
C1COCC(CCOCC1)O,7.68846805,1.40572026,181.83
C1CC(COC1)C2CCO2,8.25989905,1.768715,175.84
C1C[C@@H]([C@@H]([C@@H]1[C@@H](CO)O)O)O,7.45472556,1.16054915,186.82
C1[C@H](CC2[C@@H]1C2)O,8.50234906,1.70095961,172.22
C1[C@H](C12COCCO)O2,2.22286659,-2.4598744,800.75
C1[C@H](C(COO1)CO)O,7.92003366,1.10639926,181.14
C1[C@H](C#C[C@@H]1C(=O)O)O,4.33933817,-2.86695096,357.25
C[C@@H]1[C@H](O1)[C@@H](C(C)C)O,8.25010309,1.41061824,178.01
C1CC[C@@H]2CCC(=O)[C@@H]2CC1,5.69390175,-0.6693906,316.88
C1[C@H](C#C[C@@H]1CO)O,4.46559721,-2.20055357,344.67
C1[C@H](CC=C(C1)O)O,6.66778344,1.08163725,214.74
C1[C@H](C#C[C@@H]1[C@@H](CO)O)O,4.50804637,-1.72381685,346.76
C1C[C@@H]([C@@H](OC1)CCCO)O,8.23540915,1.61660551,173.99
C[C@@H]1[C@H](O1)[C@@H]2[C@@H](CCO2)O,8.17608917,1.45116263,175.58
C1[C@H](C#C[C@@H]1O)C(=O)O,4.35212734,-2.8707605,353.83
C1[C@H](C1[C@@H](CO)O)O,7.92901329,1.34912138,177.33
C1[C@H](C#C[C@@H]1C(=O)O)O,4.42777392,-2.46885403,340.31
C1CC[C@@H]2/C=CCCC[C@H]2C1,7.05554019,0.80435716,177.74
C1[C@H](C#C[C@@H]1CO)O,4.50695793,-2.13307029,343.47
C[C@@H]1[C@H](O1)[C@@H](C(C)C)O,8.18588513,1.30231846,178.24
C1[C@H](C#C[C@@H]1C(C)O)O,4.54287645,-2.26014566,339.43
C1[C@H](C12)C3CC3C2=CO,6.22397203,0.6884383,213.7
C1[C@H](C#C[C@H]([C@H]1O)O)O,5.51811869,-1.00354168,271.72
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.65308525,-1.23728417,271.27
C1[C@H](C(O[C@@H]1C=O)CO)O,5.30369601,-1.20789629,344.4
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.60954765,-1.12354219,277.9
C[C@@H]1[C@H](OC(=C1C=C)C)C,5.2027432,0.02802733,251.84
C1[C@H](C#C[C@H](CO1)O)O,6.1850603,-0.58993448,236.86
C1[C@H](C#C[C@@H]1O)C=O,4.29743323,-2.59810628,362.75
C1[C@H](C(O[C@@H]1C=O)CO)O,5.65798323,-1.02394993,318.83
C1[C@H](C#C[C@@H]1O)CO,4.50750215,-2.02803583,341.02
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.56382892,-2.06885233,335.55
C[C@@H]1[C@H](O1)[C@@H]2CCC[C@H]2O,8.35459333,1.62068716,174.15
C1[C@H](C#C[C@H](C1O)O)O,5.61798306,-1.3197335,265.42
C1[C@H](CC2C(C1)O2)O,8.6884723,1.7034086,168.1
C1[C@H](C#C[C@@H]([C@@H]1O)O)O,5.60954765,-1.29551571,255.59
C1[C@H](CC2(O1)CO2)O,7.88493147,1.15020897,174.52
C1[C@H](C#C[C@H]([C@H]1O)O)O,5.58288087,-1.13660347,266.88
C1[C@H](C#C[C@@H]([C@H]1O)O)O,5.54043171,-1.50721729,266.42
C1[C@H](C([C@H]([C@H]1O)O)CO)O,6.85145769,0.70585334,205.55
C[C@@H]1[C@H](O1)[C@H]2[C@@H]=CC[C@@H]2O,7.2408471,0.57768953,186.39
C1[C@H](C1=C[C@@H](CO)O)CO,6.77608322,0.35864098,212.15
C1[C@H](CC([C@H]1C=O)O)O,5.90097746,-0.9088474,310
C=C[CH](F)F,7.25037095,-0.61524071,171.19
C1[C@H](C#C[C@H](C1O)O)O,5.54315281,-1.06531065,275.51
C1[C@H](C#C[C@@H]1C(C)O)O,4.50913481,-1.97170906,341.96
C[C@@H]1[C@H](OC1(OC)OC)C,9.42235297,2.20245834,147.01
C1[C@H](C#C[C@@H]([C@@H]1O)O)O,5.64764305,-1.26476728,276.02
C1[C@H](C#C[C@@H]([C@@H]1O)O)O,5.61988783,-1.28027755,265.41
C[C@@H]1[C@H](OC=C1COC)C,6.28927843,0.7972823,206.22
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.47158788,-1.25605976,275.59
C1[C@H](C#C[C@@H](CO1)O)O,6.09390345,-0.60925429,251.55
C[C@@H]1[C@H](OC1=O)C,6.79594725,-0.79428909,249.07
C1[C@H](C#C[C@@H]([C@@H]1O)O)O,5.73526247,-1.18939281,261.18
C1[C@H](C#C[C@@H]([C@@H]1O)O)O,5.52165612,-1.22857665,262.04
C1[C@H](C#C[C@H]([C@H]1O)O)O,5.48492127,-1.32708047,282.08
C1C[C@H]2OCCC[C@H]2[C@@H]1CO,7.76384252,1.44789731,174.8
C1[C@H](C#C[C@@H]1[C@H](C)O)O,4.56274048,-2.13443084,333.38
C1[C@H](C#C[C@@H]([C@H]1O)O)O,5.6626091,-1.05197726,260.17
C1[C@H](C#C[C@H](CO1)O)O,6.09417556,-0.55428807,241.51
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.57716656,-1.26395095,266.13
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.4721321,-1.25524343,275.56
C1[C@H](CC=C[C@@H]1O)CO,7.02832919,0.41660041,197.36
C1[C@H](C#C[C@@H]1[C@H](C)O)O,4.45661758,-2.36599645,351.81
C1[C@H](CC=C[C@H]1O)C(=O)O,6.26778174,-0.45360737,249.54
C=C[CH](F)F,7.33853459,-0.57034256,168.85
C1[C@H](C#C[C@H]([C@H]1O)O)O,5.48709815,-1.23293041,279.74
C1[C@H](C#C[C@@H]1O)CO,4.51675389,-2.35320728,342.91
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.47185999,-1.25551554,275.57
C[C@@H]1[C@H](O1)[C@@H]2CC[C@@H]2[C@H]=C,7.31132359,0.70068325,185.42
C=C[C@@](C=O)(F)F,5.63567021,-2.12844442,331.6
C1[C@H](C#C[C@H]([C@H]1O)O)O,5.45471706,-1.16109337,276.09
C1[C@H](C#C[C@@H]1C(=O)O)O,4.40573301,-2.62994315,351.51
C1[C@H](C#C[C@@H]1CO)OC=O,4.49661775,-2.22722035,346.59
C1[C@H](C#C[C@@H]1[C@@H](C)O)O,4.4707673,-2.30096216,350.16
C1[C@H](C1[C@@H]([C@@H](CO)O)O)O,7.18016657,1.00490223,202.17
C1[C@H](C#C[C@@H]([C@@H]1O)O)O,5.5211119,-1.0693923,256.21
C1[C@H](C#C[C@@H]([C@@H]1O)O)O,5.52845887,-1.0258547,254.67
C1[C@H](C#C[C@H](C1)O)O,5.77771163,-1.25143389,265.73
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.53825483,-1.4068087,276.59
C=C[C@@](C)(F)F,7.3143168,-0.40598812,170.69
C1[C@H](C#C[C@H]([C@H]1O)O)O,5.53934327,-1.13959668,272.71
C1[C@H](C(C[C@@H]([C@@H]1O)O)O)O,7.84601974,0.96517417,182.69
C1[C@H](C#C[C@@H]1CO)OCO,4.49607353,-2.36490801,345.13
C1[C@H](CC([C@@H]1CO)(F)F)O,8.60248554,1.40517604,172.11
C1[C@H](C#C[C@H]1[C@@H](CO)O)O,4.47131152,-2.28681244,362.82
C1[C@H](CC2([C@H]1CO2)O)O,8.30615775,1.31674029,172.47
C1C[C@@H]([C@@H]1CCCCO)CC=O,5.85635142,-0.90857529,315.51
C1CC[C@]23COCC[C@H]2C[C@H]3C1,8.47296118,1.91728706,162.12
C[C@@H]1[C@H](O1)[C@H]2C=CC[C@@H]2OC,7.27105131,0.80762248,189.68
C1[C@H](C#C[C@@H]1[C@@H](CO)O)O,4.41580108,-2.05334206,362.62
C=C[C@@](CF)(F)F,7.23486068,-0.68734986,173.11
C1[C@H](C#C[C@@H]1CO)OCO,4.46722987,-2.15130166,348.46
C1[C@H](C#C[C@@H]1[C@@H](CO)O)O,4.30042644,-2.2966084,359.88
C[C@@H]1[C@H](O1)[C@H]2[C@@H]=CC[C@@H]2OC,7.21227555,0.63700951,196.2
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.4721321,-1.25551554,275.57
C1[C@H](C#C[C@@H]1[C@@H](C)O)O,4.43593722,-2.12273011,345.54
C1[C@H](C#C[C@@H]1[C@H](C)O)O,4.43893043,-2.24409117,353.32
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.43077138,-1.2625904,273.43
C1[C@H](C#C[C@@H]1[C@@H](C)O)O,4.46777409,-2.05062096,352.03
C=C[C@@](CO)(F)F,7.04900955,-0.53904991,198.68
C1[C@H](C#C[C@H]([C@@H]1O)O)O,5.46451302,-1.15347429,277.38
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.41144732,-1.87238891,364.93
C1[C@H](C#C[C@H]([C@H]1O)O)O,5.48655393,-1.23347463,279.8
C=C[C@@](C[CH2])O,1.15293007,-3.36300749,1470.13
C[C@@H]1[C@H](OC(=C(C1)C)C)C,6.2939043,1.19320235,204.95
C[C@@H]1[C@H](O1)[C@@H](CC(CC)O)O,8.06098664,1.31864506,180.14
C[C@@H]1[C@H](OCO1)C,9.01309953,2.27647226,152.84
C1[C@H](C12CCC=CC2)O,7.14696915,0.71537719,194.02
C1[C@H](C#C[C@@H]1[C@@H](C)O)O,4.46995097,-2.30150638,350.24
C1[C@H](CC([C@@H](C1)O)O)O,7.97418355,1.25742031,179.46
C=C[C@@](C(O)O)(F)F,7.2544526,-0.51918588,189.48
C1[C@H](CC2C=C1CO2)C=O,4.08736431,-2.02259363,333.46
C=C[CH](C(F)(F)F)F,7.20220748,-0.81279257,169.75
C1[C@H](CC=C[C@H]1CO)O,7.10724109,0.51918588,188.46
C1[C@H](C#C[C@@H]1[C@H](CCO)O)O,4.3728077,-2.22286659,352.14
C1[C@H](CC2C3C1C32)CO,7.37826265,1.40898558,182.28
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.53362471,-2.13824038,339.71
C=C[CH]/C=C/[CH2],2.74803889,-2.75402531,394.4
C1[C@H](C#C[C@H]1[C@@H](CO)O)O,4.49471298,-2.08626737,352.84
C1[C@H](C#C[C@@H]1[C@@H](CO)O)O,4.46559721,-2.23211833,343.56
C=C[CH](CF)CF,7.47078005,0.24843643,164.04
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.53117572,-1.97524649,340.06
C1[C@H](C#C[C@@H]1[C@@H](CCO)O)O,4.50804637,-2.05143729,336.92
C1[C@H](C#C[C@@H]1[C@@H](CO)O)O,4.43376034,-2.17796844,362.32
C1[C@H](CC(C(C1O)O)O)O,7.75323023,0.91129639,186.35
C1[C@H](C#C[C@H]1CCO)O,4.45688969,-2.01932831,353.26
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.44192364,-2.24055374,355.15
C[C@@H]1[C@H](O[C@@H](O1)C#C)C,8.13309579,1.00653489,184.45
C1[C@H](C#C[C@@H]1[C@H](CCO)O)O,4.52464508,-2.1741589,339.32
C1[C@H](C#C[C@@H]1[C@H](CCO)O)O,4.5251893,-2.1115736,341.75
C1[C@H](O[C@H]([C@@H]1O)O)CO,7.8286047,0.89687456,183.81
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.45144749,-1.83973571,358.96
C[C@@H]1[C@H](O[C@@H]1CO)O,8.50180484,1.56027874,171.89
C=C[C@@](CO)(C(=O)[O-])[O-],2.73851504,8.74316641,695.9
C1[C@H](C#C[C@@H]1CO)OCO,4.45144749,-2.19483926,346.75
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.46015501,-2.14259414,352.72
C1[C@H](CC2(C1CO2)O)O,8.24602144,1.39565219,174.37
C1[C@H](C#C[C@H]1[C@@H](CO)O)O,4.53743425,-2.10966883,344.37
C1[C@H](CC([C@H](C1)O)O)O,7.9238432,1.27102581,180.74
C1[C@H](C#C[C@@H]1[C@H](CO)O)O,4.53416893,-1.87075625,339.94
C[C@@H]1[C@H](OC=CC1(C)CO)C,6.71349792,1.13605925,195
C1[C@H](O[C@H]([C@@H](O1)O)O)CO,8.29173592,1.43429181,171.1
C=C[C@@](CCC=O)(F)F,5.94750827,-1.07510661,309.36
C1[C@H](C#C[C@H]1[C@@H](CO)O)O,4.29253525,-2.40300341,377.63
C=C[CH](CO)CO,7.22778582,0.48054626,190.65
C1[C@H](CC(C[C@H]1CO)O)O,7.93010173,1.48191106,179.98
C=C[C@H]([C@H]1OCCCO1)O,7.24982673,0.58394806,186.21
C1[C@H](CCC[C@H]1O)CCO,8.52302942,1.63973486,173.33
C[C@@H]1[C@H](OC(=O)C1=C)C,5.4939009,-1.72871483,309.76
C[C@@H]1[C@H](O[C@@H]1CO)C,7.91649623,1.34041386,177.5
C[C@@H]1[C@H](OC1OC)C=C,6.95975747,0.12108895,206.64
C=C[CH](O)OC(=O)C=C,5.52682621,-1.53769361,305.88
C1[C@H](C#C[C@@H]1[C@@H](CCO)O)O,4.41307998,-2.12218589,352.21
C=C[C@@](C[CH2])[C]/CO,0.8925208,-3.19048975,4974.54
C[C@@H]1[C@H](OC1O)CC(C)(C)C,8.3564981,1.42640062,171.9
C1[C@H](C#C[C@@H]1[C@H](C)O)CO,4.4299508,-2.15756019,375.68
CC[C@H]1[C@@]2(O1)COO2,7.21798986,0.99075251,223.05
C[C@@H]1[C@H](O[C@@H](O1)OC)C,9.38888344,2.26912529,144.22
C[C@@H]1[C@H](O[C@@H](O1)C#C)C,8.13364001,1.00707911,184.43
C1[C@H](C#C[C@@H]1[C@@H](CCO)O)O,4.45743391,-2.36218691,342.83
C[C@@H]1[C@H](OC=C(O1)C)C,6.30315604,1.21225005,205.82
C[C@@H]1[C@@H](C[C@H]1O)C#C,7.92275476,1.0721134,185.52
C1[C@H](C#C[C@@H]1[C@@H](CCO)O)O,4.43376034,-2.46450027,344.88
C1[C@H](CC([C@@H]1CO)(CO)O)O,7.53989599,0.76381277,189.99
C1[C@H](C#C[C@@H]1[C@H](CCO)O)O,4.517026,-2.04762775,343.14
C=C[CH](OC)OCO,7.16438419,0.18204159,193.04
C1[C@H](CC([C@H]1CO)(CO)O)O,7.75595133,1.21170583,183.68
C1[C@H](C#C[C@@H]1[C@H](CCO)O)O,4.5306315,-2.04218555,333.96
C[C@@H]1[C@H](O[C@@H](OO1)C)C,8.78044548,1.89633459,166.95
C1[C@H](C#C[C@@H]1[C@@H](CCO)O)O,4.52546141,-2.05252573,340.46
C[C@@H]1[C@H](OC1(C)C)C,8.58180518,2.15021322,161.91
C=C[C@@](C[CH2])[C@@H](C)O,1.07728349,-3.4966135,2390.29
C[C@@H]1[C@H](O[C@@H](OO1)F)CO,8.47214485,1.13333815,171.61
CC[C@H]1[C@@]2(O1)COOO2,7.72003281,1.08980055,205.33
C1[C@H](O[C@H](OC1)CO)CO,8.43541,1.53415618,173.91
C=C[C@@](C=C)([C@H]1CO1)O,6.43485728,-0.11455831,218.53
C[C@@H]1[C@H](O[C@@H]1CO)OC,8.34071572,1.51919013,172.09
CC[C@H]1[C@@]2([C@@H][C@]2O1)O,1.98613089,-4.07811257,1724.57
C=C[C@@](CO)([C@@H]1CO1)O,6.62615061,-0.11102088,215.24
C[C@@H]1[C@H](O1)[C@H]2CCCC[C@H]2CO,8.37636213,1.4258564,173.1
CC[C@H]1[C@@](O1)(C)OO,8.14534074,1.03184112,183
C1[C@H](O[C@H](O[C@@H]1O)O)CCO,8.5306485,1.45878171,171.99
C[C@@H]1[C@H](O[C@@H](C(O1)CO)O)O,7.90996559,1.2571482,177.26
CC[C@H]1[C@@](O1)(C)CO,8.53119272,1.66231999,169.13
C[C@@H]1[C@@H](CCOO1)C=O,5.84192959,-1.19810033,307.5
C[C@@H]1[C@H]([C@@](C1=C)(C)O)O,6.83240999,0.24190579,217.2
CC[C@H]1[C@@H](OOO1)C,8.28085152,1.88517808,187.99
CC[C@H]1[C@@]2(O1)COC(=O)O2,7.60873982,-0.38694042,213.28
C[C@@H]1[C@H](O[C@@H]([C@@H]1O)C)C=O,5.49471723,-1.29333883,329.41
CC[C@H]1[C@@](CO1)(C)O,7.8803056,1.2571482,178.53
CC[C@H]1[C@@](O1)(C)OC,9.48439405,2.30531592,147.75
C[C@@H]1[C@@H](C[C@@H]1C)C,9.32276071,1.95347769,149.63
C[C@@H]1[C@@H](C(OO1)C)C=O,4.68981585,-1.45606061,319.68
C[C@@H]1[C@H](OC1=O)CCCCO,6.18968617,-0.82911917,249.24
C[C@@H]1[C@H](O[C@@H](CO1)C=C)C,7.00084608,0.53632881,197.32
C[C@@H]1[C@H](O[C@@H](CO1)CO)C,7.71023685,1.38177458,183.29
CC[C@H]1[C@@H](O1)C(=C)C,6.72955241,0.16952453,207.42
CC[C@H]1[C@@H](OO1)CC,7.24411242,1.57851011,220.9
CC[C@H]1[C@@]2(O1)CCOC2=O,6.24002652,-0.96462995,268.68
CC[C@H]1[C@@]2(C[C@@H]2OO1)O,7.35159587,0.97714701,197.89
C[C@@H]1[C@H](O[C@@H](CO1)C=C)C,6.49961946,0.07483025,220.71
CC[C@H]1[C@@H](O1)/C=C/C=O,4.82124498,-2.1877644,390.6
C[C@@H]1[C@H](OCOO1)C(C)C,8.57935619,1.74232033,168.44
C[C@@H]1[C@H](O[C@@H](CO1)C=C)C,6.49961946,0.07455814,220.72
C[C@@H]1[C@H](O[C@@H](CC1=O)C)C,5.92791635,-0.68898252,303.79
C[C@@H]1[C@H](O[C@@H](CO1)C=C)C,7.04955377,0.44762095,200.93
CC[C@H]1[C@@H](OO1)CC,7.15077869,1.45660483,223.09
C[C@@H]1[C@H](O[C@@H]([C@@H]1C=O)C)C,5.6898201,-0.98911985,315.41
CC[C@H]1[C@@H](OC1=O)C,6.78968872,-0.74530929,248.96
C[C@@H]1[C@H](OC1(OC)OC)C,9.27731834,2.22150604,150.19
CC[C@H]1[C@@H](OOO1)C,8.16357211,1.77660619,188.51
CC[C@H]1[C@@](O1)(C)CC,8.78180603,2.07456664,160.31
CC[C@H]1[C@@H](C(=O)O1)C=C,6.56628641,-0.92408556,249.2
CC[C@H]1[C@@]2(O1)COOC2=O,5.877576,-1.52626499,269.42
CC[C@H]1[C@@H](CC(=O)O1)O,6.56927962,-0.60217943,256.73
C[C@@H]1[C@H](O[C@@H]1COC)OC,8.49826741,1.86422561,167.44
CC[C@H]1[C@@]2(C1O2)CC=C,2.21252641,-2.28409134,769.65
C[C@@H]1[C@@H](OC=O)O1,6.71785168,-0.94857546,259.04
C[C@@H]1[C@H](O[C@@H]([C@H]1O)C)C=C,6.83866852,0.16843609,214
CC[C@H]1[C@@H](OO)OC1=O,6.55703467,-1.15483484,249.79
CC[C@H]1[C@@](C1)(C)CO,8.44194064,1.59891836,174.01
C[C@@H]1C[C@]1(C#C)O,7.58071249,0.89007181,201.7
CC[C@H]1[C@@]2([C@@H](O2)CO1)C,8.89391535,2.02966849,156.39
C[C@@H]1C[C@]1(C(F)F)F,9.34398529,1.30993754,153.47
CC[C@H]1[C@@H](OOC1=O)C,6.29526485,-0.85633017,251.78
C[C@@H]1[C@H](OC1=O)CCCCO,6.71132104,-0.71755407,248.82
C[C@@H]1C[C@]1(C)O,8.35785865,1.70123172,174.67
CC[C@H]1[C@@](O1)(C)[C@@H](C)O,8.45064816,1.64789816,167.55
CC[C@H]1[C@@H]2C=C[C@@H]2C1=O,5.17798119,-0.95619454,338.3
CC[C@H]1[C@@]2(CO[C@]2)CC1=O,4.11811274,-1.88164065,466.05
CC[C@H]1[C@@](O1)(CC)CO,8.10370791,1.25687609,176.5
C[C@@H]1[C@H](O[C@@H](OC1O)C)C,8.86724857,1.80572196,159.31
CC[C@H]1[C@@H](OCO1)CO,8.04466004,1.33850909,178.06
CC[C@H]1[C@@]2([C@@H][C@]1OC2=O)C,2.1877644,-4.1034188,759.15
CC[C@H]1[C@@](O1)(CCC)O,8.42479771,1.31810084,170.51
C[C@@H]1[C@@H](C(C[C@H]1O)C)O,8.09772149,1.31674029,177.8
CC[C@H]1[C@@](O1)(CC)CO,7.99350336,1.21252216,178.75
CC[C@H]1[C@@]2(O1)COCCO2,8.99377972,2.204091,158.54
C[C@@H]1[C@H](O[C@@H](CC1=O)C)C,5.9755356,-0.61469649,300.59
CC[C@H]1[C@@]2([C@@H]1O)CCO2,7.43050777,1.60381634,194.67
C[C@@H]1[C@@H](C[C@@H]1O)CCC=O,5.96682808,-0.73088746,307.91
C[C@@H]1[C@@H](C[C@H]2[C@@H](C1)O2)O,8.64547892,1.66041522,167.91
CC[C@H]1[C@@H](O1)[C@@H](C)O,8.42370927,1.51320371,171.54
CC[C@H]1[C@@](O1)(C)[C@H](C)O,8.56384592,1.75592583,166.99
CC[C@H]1[C@@](O1)(C)[C@@H](C)O,8.06044242,1.30667222,178.24
C[C@@H]1[C@@H](OC1=O)C,6.82070926,-0.76680598,248.06
CC[C@H]1[C@@H]2[C@@H](O2)C(O1)O,8.33364086,1.26993737,175.33
C[C@@H]1[C@H](O[C@@H]([C@@H]1O)CC=C)C,7.18343189,0.5469411,192.45
CC[C@H]1[C@@](O1)(CC)CO,8.12384405,1.32463148,175.42
CC[C@H]1[C@@](C1C)(CO)O,8.02615656,1.36980174,178.47
CC[C@H]1[C@@](O1)(C)[C@H](C)O,8.11568075,1.39755696,175.11
CC[C@H]1[C@@](O1)(C)[C@H](C)O,8.24003502,1.52299967,172.54
